Site Number,Site Option,TD Number,BTS Number,BTS Name,City,Community,Council District,Text Description of Location,Type,X-Coordinate,Y-Coordinate,Comments,Status,Reason for Removal,Description of Reason for Removal,# No,No Comments,# Yes,Yes Comments,Survey Demographic
1,A,1A,,North Hollywood Station,Los Angeles,,10,,Sidewalk,-118.37707,34.168631,,Installed,,,5,,10,,
1,B,1B,,North Hollywood Station,Los Angeles,,10,,Sidewalk,-118.376874,34.167997,,Rejected,,,3,,8,,
2,A,2A,,Lankershim & Weddington,Los Angeles,,10,,On-street,-118.3756061,34.167083,,Proposed,,,5,,10,,
2,B,2B,,Lankershim & Weddington,Los Angeles,,10,,On-street,-118.3772797,34.16712375,,Proposed,,,1,,0,,
2,C,2C,,Weddington & Lankershim,Los Angeles,,10,,Sidewalk,-118.376391,34.166928,,Proposed,,,3,,2,,
3,B,3B,,NoHo Plaza,Los Angeles,,10,,Other,-118.37542,34.165598,,Installed,,,3,,2,,
4,A,4A,,North Hollywood Library,Los Angeles,,10,,Sidewalk,-118.3787021,34.1658838,,Proposed,,,1,,8,,
4,B,4B,,North Hollywood Library,Los Angeles,,10,,On-street,-118.378741,34.1660025,,Proposed,,,5,,6,,
4,C,4C,,North Hollywood Library,Los Angeles,,10,,On-street,-118.3790642,34.1657805,,Proposed,,,4,,7,,
4,D,4D,,North Hollywood Library,Los Angeles,,10,,Other,-118.3791779,34.165514,,Proposed,,,3,,10,,
5,A,5A,,Chandler & Vineland,Los Angeles,,10,,On-street,-118.3707298,34.1682513,,Rejected,,,2,,10,,
5,B,5B,,Chandler & Vineland,Los Angeles,,10,,On-street,-118.3746887,34.1682025,,Installed,,,2,,9,,
6,A,6A,,Vineland & Otsego,Los Angeles,,10,,Sidewalk,-118.3702206,34.1628268,,Proposed,,,2,,3,,
6,B,6B,,Vineland & Otsego,Los Angeles,,10,,On-street,-118.370057,34.1627003,,Proposed,,,0,,9,,
6,C,6C,,Vineland & Otsego,Los Angeles,,10,,Sidewalk,-118.370185,34.162482,,Proposed,,,4,,2,,
7,A,7A,,Chandler & Cahuenga,Los Angeles,,10,,On-street,-118.361874,34.168752,,Proposed,,,1,,8,,
7,C,7C,,Chandler & Cahuenga,Los Angeles,,10,,Sidewalk,-118.3613348,34.1687641,,Proposed,,,3,,4,,
8,B,8B,,Lankershim & Morrison,Los Angeles,,10,,Sidewalk,-118.3719911,34.1610179,,Proposed,,,5,,8,,
8,C,8C,,Lankershim & Morrison,Los Angeles,,10,,Sidewalk,-118.3725664,34.1608543,,Proposed,,,3,,0,,
8,D,8D,,Lankershim & Hesby,Los Angeles,,10,,Sidewalk,-118.372841,34.161659,,Proposed,,,3,,3,,
9,C,9C,,Lankershim / Vineland / Camarillo,Los Angeles,,10,,Sidewalk,-118.370205,34.156804,,Installed,,,5,,3,,
9,D,9D,,PAIR - Lankershim / Vineland / Camarillo,Los Angeles,,10,,On-street,-118.370175,34.158214,,Rejected,,,0,,2,,
9,E,9E,,PAIR - Lankershim / Vineland / Camarillo,Los Angeles,,10,,Sidewalk,-118.370754,34.158229,,Proposed,,,5,,6,,
9,F,9F,,Lankershim / Vineland / Camarillo,Los Angeles,,10,,Other,-118.370581,34.157849,,Proposed,,,3,,10,,
9,G,9G,,Lankershim / Vineland / Camarillo,Los Angeles,,10,,Sidewalk,-118.370741,34.157922,,Proposed,,,3,,8,,
10,A,10A,,Riverside & Tujunga,Los Angeles,,10,,Sidewalk,-118.3784912,34.1575395,,Proposed,,,3,,1,,
10,B,10B,,Riverside & Tujunga,Los Angeles,,10,,On-street,-118.378911,34.15802,,Proposed,,,4,,9,,
10,C,10C,,Riverside & Tujunga,Los Angeles,,10,,On-street,-118.3788561,34.1599638,,Installed,,,4,,9,,
11,A,11A,,Lankershim & Burbank,Los Angeles,,10,,On-street,-118.3798373,34.1722595,,Proposed,,,4,,6,,
12,A,12A,,Lankershim & Califa,Los Angeles,,10,,On-street,-118.3822698,34.1777268,,Proposed,,,1,,4,,
12,B,12B,,Lankershim & Califa,Los Angeles,,10,,Sidewalk,-118.3822257,34.1777239,,Proposed,,,2,,6,,
13,A,13A,,PAIR - Chandler & Colfax,Los Angeles,,10,,On-street,-118.3875032,34.1683549,,Proposed,,,0,,1,,
13,B,13B,,PAIR - Chandler & Colfax,Los Angeles,,10,,On-street,-118.3881147,34.1686989,,Proposed,,,4,,2,,
14,A,14A,,PAIR - Chandler & Laurel Canyon Blvd,Los Angeles,,10,,On-street,-118.3961616,34.1683253,,Proposed,,,3,,2,,
14,B,14B,,PAIR - Chandler & Laurel Canyon Blvd,Los Angeles,,10,,On-street,-118.3968268,34.1686582,,Proposed,,,3,,2,,
15,A,15A,,Burbank & Whitsett,Los Angeles,,10,,On-street,-118.4051341,34.1721953,,Proposed,,,2,,6,,
15,B,15B,,Burbank & Whitsett,Los Angeles,,10,,On-street,-118.4045507,34.1722408,,Proposed,,,3,,7,,
16,A,16A,,PAIR - Valley College Station,Los Angeles,,10,,Sidewalk,-118.4222768,34.1725254,,Proposed,,,5,,2,,
16,B,16B,,PAIR - Valley College Station,Los Angeles,,10,,Sidewalk,-118.4223948,34.1717786,,Proposed,,,2,,2,,
16,C,16C,,Valley College Station,Los Angeles,,10,,None,-118.4223948,34.1717786,,Proposed,,,1,,10,,
17,A,17A,,Riverside & Laurel Canyon,Los Angeles,,10,,On-street,-118.3966532,34.1580348,,Proposed,,,0,,2,,
18,A,18A,,Universal City / Studio City,Los Angeles,,10,,Sidewalk,-118.362476,34.13931,,Proposed,,,2,,3,,
18,B,18B,,Universal City / Studio City,Los Angeles,,10,,Sidewalk,-118.362193,34.139361,,Proposed,,,4,,2,,
19,C,19C,,Magnolia,Los Angeles,,10,,Sidewalk,-118.363494,34.1650071,,Proposed,,,1,,10,,
20,A,20A,,Moorpark & Lankershim,Los Angeles,,10,,On-street,-118.3663556,34.1504662,,Proposed,,,3,,4,,
20,C,20C,,Moorpark & Lankershim,Los Angeles,,10,,Other,-118.366184,34.150671,,Proposed,,,1,,0,,
21,A,21A,,Riverside & Coldwater Canyon,Los Angeles,,10,,Sidewalk,-118.4138995,34.1579039,,Proposed,,,5,,2,,
21,B,21B,,Riverside & Coldwater Canyon,Los Angeles,,10,,On-street,-118.4143032,34.1577208,,Proposed,,,2,,4,,
22,A,22A,,Tujuranga & Hatteras,Los Angeles,,10,,On-street,-118.3789783,34.175967,,Proposed,,,5,,8,,
22,B,22B,,Tujuranga & Hatteras,Los Angeles,,10,,On-street,-118.3789783,34.1756053,,Proposed,,,3,,8,,
25,A,25A,,LAVC,Los Angeles,,10,,Other,-118.4217151,34.17588578,,Proposed,,,4,,1,,
25,B,25B,,LAVC,Los Angeles,,10,,Other,-118.4217151,34.17588578,,Proposed,,,4,,5,,
26,C,26C,,Coldwater Canyon & Victory Blvd,Los Angeles,,10,,On-street,-118.413667,34.18737215,,Proposed,,,5,,1,,
27,A,27A,,Ethel & Hatteras,Los Angeles,,10,,Sidewalk,-118.4178689,34.1755528,,Proposed,,,0,,5,,
27,B,27B,,Ethel & Hatteras,Los Angeles,,10,,On-street,-118.4178958,34.1756859,,Proposed,,,0,,2,,
27,C,27C,,Ethel & Hatteras,Los Angeles,,10,,On-street,-118.4181828,34.175322,,Proposed,,,0,,6,,
29,A,29A,,Oxnard & Radford,Los Angeles,,10,,On-street,-118.391713,34.179497,,Proposed,,,3,,8,,
29,B,29B,,Oxnard & Radford,Los Angeles,,10,,On-street,-118.391901,34.179339,,Proposed,,,5,,9,,
30,,30,,Oxnard & Vineland,Los Angeles,,10,,Sidewalk,-118.3700821,34.1797362,,Proposed,,,4,,7,,
31,C,31C,,Burbank & Clybourn,Los Angeles,,10,,On-street,-118.3580972,34.1721058,,Proposed,,,3,,6,,
33,A,33A,,Magnolia & Colfax,Los Angeles,,10,,On-street,-118.3877,34.165104,,Proposed,,,4,,0,,
35,A,35A,,Magnolia & Clybourn,Los Angeles,,10,,On-street,-118.355007,34.1654152,,Proposed,,,2,,3,,
35,B,35B,,Magnolia & Clybourn,Los Angeles,,10,,On-street,-118.3551518,34.1652154,,Proposed,,,2,,3,,
37,A,37A,,Riverside & Beck,Los Angeles,,10,,On-street,-118.3837034,34.1577487,,Proposed,,,0,,5,,
