nbd_ID|nbd|ID|location|category|comment|neighborhood|project_id
CW1|CW|1|Branch Ave @ Exit 146|Congestion|Congestion/Grid lock. |Charles - Wanskuck|109
CW2|CW|2|Charles St @ Silver Spring St|Congestion|Congestion.|Charles - Wanskuck|33
CW3|CW|3|Hawkins St. Bridge|Connectivity|Closed, needs to reopen.|Charles - Wanskuck|35
CW4|CW|4|Silver Spring St|Maintenance|Sidewalk needed facing north, where RR tracks are located.|Charles - Wanskuck|Corridor
CW5|CW|5|North End of neighborhood|Maintenance, cleanliness|Trash litter, especially at bus stops  need trash cans. Interpreted as [trash collects on sidewalks near] school.|Charles - Wanskuck|Area
CW6|CW|6|Windmill St|Speeding, parking|Speeding, cut through traffic, parking on sidewalk, (happens a lot on this street), stop sign ignored.|Charles - Wanskuck|Corridor
CW7|CW|7|Vandewater St|Congestion, cleanliness|Congestion and filthy, major clean up needed.|Charles - Wanskuck|32
CW8|CW|8|Greenley St @ Alaska St|Safety|4-way stop but no one stops. Accident waiting to happen.|Charles - Wanskuck|Other intersection
CW9|CW|9|Argol St|Traffic Controls|Used as a cut through. All-way stop sign would be helpful.|Charles - Wanskuck|Corridor
CW10|CW|10|Ledge St|Traffic calming, traffic control, Cleanliness|Cut through between Branch and Charles speedway. More accidents than ever. Interpreted as [speeding is a problem]. No traffic control to slow down traffic. No one puts garbage away.|Charles - Wanskuck|Corridor
CW11|CW|11|Charles St @ Hawkins St|Crossing|Many ped crossing to/from church. Better crosswalk needed.|Charles - Wanskuck|109
CW12|CW|12|146 @ Branch Ave|Congestion|Grid locked morning and night.|Charles - Wanskuck|Other comment
CW13|CW|13|MacGregor St @ Stanhope St|Parking, Cleanliness|Interpreted as [People often park at L on MacGregor St @ Stanhope St]. Possible drug use. Car once lit on fire. Narragansett St on the other side  dumping yards and other waste there. Sign put up but still a problem  no clean up. Asphalt broken up. Needs to be replaced.|Charles - Wanskuck|Corridor
CW14|CW|14|Christopher St|Safety|Steep include, icy and dangerous.|Charles - Wanskuck|General
CW15|CW|15|All|Maintenance|[Utility company] dug up streets, repaired, but not correctly. Are we getting funds to repair streets?|Charles - Wanskuck|Corridor
CW16|CW|16|Charles St|Cleanliness, littering|Lots of loitering, litter, bringing down neighborhood and property values. Businesses are leaving. People throw garbage [into street], no pick ups/pride.|Charles - Wanskuck|Corridor
CW17|CW|17|Job St|Maintenance|Dip in middle of street. Cars park on both sides. Difficult to drive around. |Charles - Wanskuck|Other intersection
CW18|CW|18|Smart St @ Windmill|Speeding|Cut through on Windmill. [interpreted as] People drive fast down Smart St which is a one way, very narrow road. |Charles - Wanskuck|Corridor
CW19|CW|19|Smithfield Ave|Geometry, traffic ops, safety|5 lane road, multiple crashes, woman killed last year. Interpreted as [wide road with] 4 to 5 lanes, 3 lights going one way. Convergence point to I95.|Charles - Wanskuck|109
CW20|CW|20|Langdon St|Infrastructure|Too many speed bumps. Interpreted as [People park their cars close and near to the speed bumps].|Charles - Wanskuck|0
CW21|CW|21|Charles St|Illegal activity|Citizen cuts trees for heating his house. From Charles St  goes up and down street, cutting down trees. Has chain saw.|Charles - Wanskuck|#N/A
CW22|CW|22|Silver Spring St @ Urgent Care Entrance|Geometry|Very poor design, hard to get in through single entrance. Interpreted as [Have tired] to go [in through] gas station, no yield [sign]. [Ingress and egress] is challenging.|Charles - Wanskuck|#N/A
